Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,106401.90599999999,112084.97200000002,116772.99599999998,124126.005,125273.60799999996,129398.08,129025.70899999999,127141.943,131562.063,134911.97699999998,135815.85399999996,140325.37200000003,147714.15899999996,158781.15600000002,161792.52500000002,170721.39899999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,352.324,424.164,422.59,506.877,544.828,550.679,561.265,559.886,612.383,661.882,740.627,706.416,648.237,449.045,529.116,544.535
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,2642.112,3005.154,2953.027,3192.806,3239.849,3291.798,2961.705,2838.257,3010.828,3463.999,3578.062,3243.743,3081.237,3679.633,3695.491,3799.896
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,176.717,170.946,162.65,154.974,148.999,141.066,135.911,133.073,147.646,176.477,245.584,270.217,335.983,385.638,400.17,400.58
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,556.423,558.89,575.278,533.587,536.612,549.887,536.929,456.085,475.865,384.03,361.964,260.634,307.081,333.414,309.972,287.094
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2905.255,3098.914,2521.898,2922.365,2958.975,2973.681,2912.665,2923.851,6470.049,7330.892,7269.864,7260.197,6853.553,10483.35,11636.881,12752.627
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,27.984,31.519,36.255,36.917,38.976,41.371,42.037,40.758,45.418,46.452,48.775,50.262,55.533,65.255,49.359,41.647
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,835.811,901.597,1002.934,914.472,729.459,783.465,978.572,1010.115,959.144,848.24,925.008,1237.923,1684.748,1788.532,1838.179,1900.911
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,2716.905,2752.791,2738.277,3051.893,2390.473,2310.307,2060.97,1565.833,1386.261,1900.336,1995.391,1833.016,1582.7,1329.818,1330,1400.305
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,9820.187,10079.87,11711.559,12185.429,11396.271,12039.118,12505.595,13247.445,13009.334,13335.43,13346.493,11584.217,10219.157,9405.74,9188.302,9702.083
