Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,83820.79299999999,85680.506,83076.84899999999,83928.40200000003,81250.623,81957.08500000002,80198.85899999997,81164.33699999998,78837.90800000004,79135.11599999998,80877.956,80594.38999999998,83388.60499999997,82233.542,82315.55,82684.61300000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,1812.9470000000001,1791.566,1821.422,1748.901,1922.636,2040.344,2437.561,2344.475,2296.858,2112.8360000000002,2053.873,1963.71,1914.1889999999999,2002.551,1882.808,1952.9650000000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,2017.518,2578.676,2524.646,2706.782,2508.397,2454.727,2617.219,2501.812,2015.028,1837.598,1827.672,1878.004,1823.031,2197.902,2085.739,1993.5320000000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,24.124000000000002,19.238999999999997,19.185,23.473,28.727,30.081,29.84,34.384,35.964,35.028,34.719,34.111000000000004,38.191,41.635999999999996,41.864000000000004,41.97
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,634.2379999999999,594.496,568.0500000000001,604.023,618.886,639.894,723.916,742.109,740.9150000000001,794.63,901.705,905.616,799.6899999999999,659.711,639.2,642.745
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,6205.84,6116.648,5459.7789999999995,5657.48,6494.817,6686.255,6717.011,4241.886,4223.109,4335.889,4277.25,4202.062,3942.8740000000003,4024.883,3981.518,4112.036
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,58.807,61.775,63.315,63.94,58.961,55.092,58.393,68.818,67.342,70.254,73.297,64.914,61.516,66.218,75.876,69.238
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,319.161,319.014,304.328,315.78999999999996,325.353,320.59000000000003,283.302,312.42400000000004,314.807,292.822,309.033,337.255,342.03799999999995,410.513,443.856,404.007
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,2263.4539999999997,2330.24,2267.701,2110.312,2106.682,2161.071,2204.602,2319.613,2315.635,2475.8469999999998,2522.751,2448.268,2524.223,2453.922,2564.847,2277.724
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,7697.335999999999,7874.499,7841.508,8433.232,7813.886,7916.666,7215.921,8338.359,8977.896,9253.500999999998,9201.493,8960.965,8668.429,7932.785,8338.903,8537.962
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,2248.6259999999997,2489.156,2327.263,2057.5769999999998,1254.323,2333.032,2508.389,1922.639,1738.073,2361.9300000000003,2614.7400000000002,2463.6079999999997,2789.847,3104.795,3424.2999999999997,3555.2870000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,15087.073,15295.593,15494.065,16044.922999999999,15690.092,15819.815999999999,15227.555,16745.799,16524.685,16762.793,17191.899,17075.089,17855.740999999998,17953.093,17673.18,17725.014
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,250.861,229.747,214.21499999999997,204.351,192.487,212.00400000000002,208.899,235.596,224.927,214.51399999999998,214.948,207.173,197.096,202.311,195.076,204.735
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,2228.579,2057.918,1895.617,1786.259,1756.023,1827.3719999999998,1822.806,1994.259,2000.944,1917.435,2127.913,2363.728,2618.378,2633.848,2937.315,3001.118
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,7369.0470000000005,7186.138999999999,6950.362999999999,7315.984,6849.1,6300.929,6106.0830000000005,6253.085,5643.406,5503.437,5257.629,4948.035,4980.999,4321.748,4257.433,4173.041
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,7873.715999999999,7724.884,7519.3099999999995,7553.724,7421.5509999999995,7211.367,6882.165,7663.822,7524.423,7821.603,8900.219,8886.559,9095.421999999999,8604.955,8683.472,8917.271
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,954.356,896.2470000000001,814.706,797.692,779.6859999999999,769.8530000000001,713.865,730.0260000000001,737.6790000000001,796.968,826.7239999999999,845.087,813.327,832.134,686.562,654.059
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,676.5740000000001,691.0429999999999,633.435,632.3489999999999,622.585,579.47,584.982,693.328,645.602,616.34,687.063,690.7560000000001,735.151,635.7130000000001,635.941,617.513
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,84.61699999999999,81.465,81.181,77.794,73.23,72.75999999999999,74.174,75.48,71.759,68.014,69.262,71.886,80.204,77.17699999999999,81.835,85.166
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,3928.209,4124.348,4039.0780000000004,4153.067,4084.228,4004.647,3718.559,4060.102,4040.9170000000004,3943.2470000000003,4068.321,3969.7200000000003,5062.241,3855.084,4045.055,3903.368
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,547.337,518.72,501.977,484.16,437.966,457.506,496.846,560.665,544.733,525.825,494.402,387.61400000000003,393.671,439.711,446.046,452.121
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,6038.985,6593.773,6404.817,5996.218,5703.75,5962.267,6159.083,6165.185,4976.533,4874.184,4742.401,4722.276,4848.022,5145.112,5220.76,5365.152
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,2715.105,2805.5699999999997,2557.6789999999996,2262.842,2154.191,2308.565,2131.73,2307.321,2380.236,2017.4869999999999,2035.3670000000002,2095.7110000000002,2317.612,2602.5190000000002,2866.326,3101.0429999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,96.273,101.066,98.21000000000001,109.962,109.898,98.49799999999999,94.031,109.734,104.284,90.29899999999999,91.716,89.76100000000001,89.428,109.596,126.933,137.138
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1523.049,1660.472,1626.708,1708.007,1505.529,1209.764,1043.9279999999999,1103.623,1013.1410000000001,1003.24,1102.202,1269.493,1259.219,1101.423,961.529,1016.225
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,425.208,443.95399999999995,432.992,442.603,396.285,406.807,382.673,384.818,367.96,373.964,381.39799999999997,393.584,405.139,425.198,442.78799999999995,419.34799999999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,1724.213,1893.458,1717.014,1475.121,1543.503,1802.165,2096.094,2198.931,2041.76,1946.173,1855.0629999999999,2025.683,2084.161,1976.608,1797.321,1620.883
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,241.931,251.51000000000002,236.445,271.566,318.002,328.024,305.355,321.504,310.156,283.476,291.35699999999997,296.656,319.65799999999996,415.52200000000005,477.854,515.307
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,1720.986,1615.366,1409.1509999999998,1369.016,1345.7469999999998,1336.87,1101.075,1295.616,1314.554,1156.704,1069.176,1025.968,1212.7640000000001,1472.651,1268.876,1277.219
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,1023.8580000000001,1064.2740000000001,1036.26,1087.6019999999999,931.341,945.5730000000001,1005.765,1047.681,1246.591,1196.09,1245.7869999999998,1161.745,1180.7,1155.603,1132.019,1154.088
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,2856.238,2983.308,3013.179,3398.388,3275.8500000000004,3323.989,2763.138,1930.415,2181.269,2315.794,2212.733,2508.9429999999998,2666.355,3123.6639999999998,2613.437,2489.244
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,2789,2943.464,2942.842,2816.234,2773.1020000000003,2175.9,2301.238,2235.717,1998.63,1910.571,1990.4840000000002,2086.658,2041.992,2047.124,2062.344,2060.126
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,383.527,342.87800000000004,260.408,219.03,153.809,165.187,182.661,225.111,218.09199999999998,226.62300000000002,205.359,213.752,227.297,207.832,224.537,207.968
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,2.162884572089,2.090984383309,2.192454362346,2.083801142788,2.366303086685,2.489527293461,3.039396109114,2.888553133872,2.913392882013,2.669909525374,2.539471942145,2.436534354314,2.295504283829,2.435199738812,2.287305375473,2.361944900196
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,2.406942153363,3.009641422986,3.038928450452,3.225108468049,3.087234174192,2.995137028117,3.263411764998,3.082403050985,2.55591256937,2.322101859306,2.259790047117,2.330191964974,2.186187189485,2.672756087777,2.533833522342,2.41100723299
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.028780448307,0.022454349184,0.023093076147,0.027967886247,0.035356036593,0.036703355177,0.037207511892,0.042363433585,0.045617648809,0.044263535293,0.042927642731,0.042324285847,0.045798823472,0.050631407802,0.050857948468,0.050759141849
