Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,277503.074,284592.70499999996,293231.1990000001,302957.011,313845.725,317744.88699999993,316050.35599999997,318485.57000000007,324113.00899999996,333942.6479999999,340085.08900000004,344676.6849999999,353315.43799999997,361929.91400000005,361132.23799999995,365792.99000000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,2136.993,2348.758,2447.319,2561.955,2587.821,2639.093,2660.127,2668.492,2652.846,2762.033,2832.542,2856.674,2899.262,3000.447,2942.642,3065.294
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,9608.841,9605.938,9986.55,10273.709,10564.208,10766.449,10391.619,9838.982,10087.529,10640.881,10652.047,10635.292,10628.609,11004.724,11321.512,11704.293
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2014.976,2026.976,2122.999,2263.841,2383.71,2430.387,2425.729,2495.334,2540.667,2645.158,2661.586,2716.745,2778.416,2839.051,2941.169,3056.888
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,2768.57,2783.192,2877.654,3112.832,3146.581,3352.258,3141.598,3374.618,3372.319,3298.019,3433.772,3475.764,3456.897,3326.514,3263.003,3512.652
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,6064.895,6307.137,6332.966,6483.21,6688.626,6844.194,6672.048,6801.536,6765.589,7091.517,7039.478,6920.408,6821.176,7353.426,7465.806,7227.769
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,1587.835,1677.335,1740.49,1793.994,1821.274,1833.867,1832.784,1900.472,1922.177,1991.81,1993.556,2108.341,2126.825,2143.058,2119.194,2167.367
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,6119.934,5805.409,6022.851,6103.461,6190.502,6571.671,6302.17,6482.309,6611.478,6935.273,6970.713,7375.003,7346.575,7621.074,7204.258,7147.942
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,8130.292,8182.193,8660.868,8942.282,9294.66,9571.232,9387.406,9162.105,9071.39,9564.678,9590.523,9242.814,9423.243,9788.441,9618.359,9565.722
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,60836.144,61638.512,63333.747,64817.979,67857.425,68064.435,67788.693,68021.024,69421.959,71049.26,72650.229,73218.517,75896.803,77746.551,76332.934,78040.965
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,2559.095,2598.014,2688.156,2723.216,2824.377,2855.129,2716.66,2845.272,2947.647,2936.976,2909.427,3116.244,3207.081,3318.781,3425.703,3381.842
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,11096.51,11514.776,11670.353,11842.011,12110.58,12416.132,12338.667,12615.951,12702.411,13050.52,13569.263,14138.797,14568.355,14520.472,14259.436,14067.412
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,4972.494,5218.393,5260.018,5318.567,5378.296,5349.728,5303.628,5508.298,5528.602,5566.006,5676.233,5823.28,5860.298,6182.183,6185.336,6422.717
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,4392.189,4441.349,4484.147,4547.175,4915.577,5083.759,4793.808,5149.287,5261.202,5170.093,5371.06,5559.139,5801.742,5756.119,5700.887,5533.054
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,18180.937,19317.145,19810.473,19774.929,20709.59,21184.985,20890.375,20814.163,20608.957,21729.407,21578.545,21850.036,21944.416,23208.296,23580.451,23773.929
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,23187.807,22943.631,24966.719,27422.613,27571.53,28157.517,28823.254,29326.217,30513.096,31906.202,33169.381,34675.087,36445.995,37922.829,38477.38,38216.705
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,8770.584,8300.275,8667.387,8927.184,9867.292,10322.738,9833.695,9651.053,9781.381,10037.705,10619.85,10646.93,10251.389,10514.948,10766.877,10992.128
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,4457.57,4446.197,4681.553,4463.533,4662.492,4667.233,4633.527,4735.806,4804.902,5054.388,5290.411,5389.712,5557.027,5764.342,5776.698,5815.162
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,1882.616,2078.624,2225.785,2202.499,2158.356,2247.816,2258.797,2273.914,2301.558,2427.894,2479.301,2486.637,2573.9,2625.953,2582.133,2714.963
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,12998.166,13583.762,14161.36,14695.847,15222.152,15162.007,14824.262,15096.658,15816.814,16028.501,16065.914,15360.723,15651.759,16274.076,16281.433,16843.939
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,5663.901,5622.132,6173.223,6009.178,6195.498,6223.593,6462.159,6631.258,6683.517,6741.711,6671.124,6883.399,7207.509,6896.699,7021.288,7651.562
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,8508.997,8398.963,8807.922,9106.483,9449.948,9889.974,10369.822,10066.068,10516.415,10764.962,11213.192,10890.336,11163.29,11322.289,11720.458,11482.038
