Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,2231575.9420000003,2306319.002,2356398.745,2466358.6300000004,2481289.279000001,2447226.6130000004,2199227.4039999996,2390756.306,2466334.9240000006,2563504.4299999997,2576975.6060000015,2679712.684,2761007.998000001,2804161.0089999996,2888915.845000001,2941823.1969999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,24840.051,26356.268,27809.306,31043.103999999996,36272.092,34793.377,30786.289999999997,37698.742000000006,39282.602000000006,41926.84300000001,44876.488,54781.998,57772.896,60343.257999999994,62383.79899999999,65275.09500000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,105062.014,111492.052,111415.304,121639.168,118429.20400000001,111219.064,91268.25200000001,97119.66699999999,94818.578,99629.20700000001,100695.54999999999,108179.37299999999,119687.598,125389.492,129606.656,137923.9
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2017.9840000000004,1909.155,1976.171,2074.324,2226.33,2198.687,2065.1829999999995,2041.3619999999999,2022.341,1988.3330000000003,2113.066,2207.3699999999994,2203.222,2191.568,2190.8799999999997,2214.7089999999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,2616.156000000001,2461.6469999999995,2425.1130000000003,2468.3599999999997,2572.7129999999997,2734.276,2814.6749999999993,2794.504,2858.5680000000007,2752.4880000000003,2858.13,2859.63,2746.1009999999997,2575.95,2465.488,2507.7010000000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,190335.862,198441.832,192891.74499999997,203715.147,206861.503,196504.294,138716.443,189344.561,205902.513,221832.03300000002,214248.51700000002,232242.203,231749.663,229628.422,238269.27300000002,247263.261
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,3180.9529999999995,3421.6499999999996,3420.0600000000004,3331.4599999999996,3325.002,3400.1300000000006,3460.3169999999996,3796.476,3915.53,3874.851,3992.3749999999995,3957.955,4079.1569999999997,4117.415,4144.024000000001,4211.697999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,31457.940000000002,29417.957000000002,27911.174999999992,28794.799000000006,29437.521,28970.248,29508.529000000006,29816.387000000002,30686.857000000004,29882.511,29022.837999999996,30372.055000000004,29773.762999999995,28859.448,25338.839,22948.770999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,91659.23199999999,96976.233,99907.97099999999,108845.47399999999,109652.474,110123.302,92935.465,98573.22,101462.169,116731.923,122756.47899999998,126167.263,135663.15,146493.01799999998,152981.705,154163.785
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,188795.78999999998,190287.23099999997,191878.926,199452.56199999995,196514.41999999998,193484.16600000003,181706.31100000002,179544.538,174099.24699999994,171184.927,168347.235,165851.955,160931.02500000002,157690.26700000002,157501.93300000002,160458.181
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,26359.123,26586.946000000004,26786.630000000005,26196.923,25643.887000000002,27720.643000000004,27231.502999999997,27705.923,28926.358999999997,30979.209,30841.926999999996,29578.914000000004,30369.181999999993,30275.855999999996,31296.778000000002,31829.538000000004
