Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,23053.117000000002,23337.85,23116.716000000004,23435.533,24015.595000000005,22312.657000000007,20816.798000000003,21384.61500000001,22100.378000000008,24951.542999999994,24316.73399999999,24650.960000000003,25576.304999999997,24416.053000000004,25795.276999999995,25305.027
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,117.023,124.163,135.622,131.82,125.633,119.315,110.837,110.427,108.439,124.279,142.806,142.034,146.168,168.963,172.649,154.128
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,1606.163,1680.472,1683.08,1660.885,1384.107,1410.684,972.195,615.693,413.675,478.857,516.65,613.846,645.694,740.748,710.668,756.654
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,8.519,9.308,9.637,12.935,22.059,39.717,28.302,23.044,24.086,27.528,28.594,33.797,60.191,50.807,52.185,43.762
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,31.504,30.441,31.5,28.59,27.807,25.43,27.852,29.631,37.467,44.558,50.223,33.537,43.534,53.604,49.206,51.367
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,361.302,367.035,386.816,393.1,437.641,405.02,397.536,450.039,456.496,545.632,546.386,516.512,493.577,519.738,511.371,529.58
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,41.466,44.147,37.017,40.364,47.765,48.674,41.835,41.692,35.312,35.538,36.48,43.786,37.418,37.006,35.101,31.664
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,210.145,230.723,220.933,253.138,212.867,195.697,208.433,218.511,195.653,224.07,221.683,236.719,251.012,233.445,253.238,194.795
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,1285.992,1834.723,2472.683,2571.162,2717.168,2499.401,2315.832,2360.117,2901.611,3599.572,4176.661,4320.195,4306.074,3715.745,3669.113,3522.412
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,631.976,654.826,692.071,731.591,749.811,620.351,489.901,537.546,532.453,613.362,673.018,677.775,690.629,709.69,757.916,704.865
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,6282.648,4956.645,4375.221,4593.812,4834.839,4379.469,4564.619,4957.09,5443.677,6771.978,6010.08,5938.558,6283.866,5758.701,6463.821,6045.345
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,267.16,271.043,286.728,314.002,331.402,340.263,316.526,348.325,342.128,411.51,443.629,491.131,485.991,506.913,546.954,557.557
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,464.835,413.513,415.846,433.068,577.431,534.116,421.312,399.228,368.644,400.306,405.108,430.11,445.338,444.195,448.292,465.299
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,259.428,273.357,312.287,298.423,284.711,276.138,292.518,354.98,286.732,276.319,322.71,197.086,212.466,220.065,239.816,263.061
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,1951.392,2032.563,1708.777,1730.336,1820.702,1706.667,1559.395,1425.316,1347.681,1540.875,1165.13,1192.061,1249.565,1153.409,1182.571,1183.24
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,1499.734,1586.223,1655.022,1497.751,1443.931,1361.275,1214.932,1245.027,1247.237,1256.801,1291.35,1358.5,1482.205,1351.156,1098.504,1060.144
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,1949.679,2376.731,2132.754,2032.635,2296.829,2008.12,2149.728,2336.482,2445.507,2431.506,2393.144,2283.073,2476.232,2320.093,2427.408,2419.634
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,84.714,81.934,91.774,85.492,87.062,85.963,75.491,87.253,87.027,94.022,116.741,124.539,135.568,121.887,111.478,106.687
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,71.998,67.854,78.34,75.655,86.978,86.343,83.628,108.655,135.661,167.895,198.137,163.65,148.586,150.462,124.624,133.658
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,891.234,963.346,1071.009,1187.479,1272.865,1158.644,954.889,1060.273,1091.541,1202.961,1202.958,1267.365,1541.456,1378.311,1514.693,1560.637
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,1366.181,1647.3,1465.114,1561.933,1336.597,1337.4,1202.583,1377.949,1459.902,1391.782,1067.973,1105.896,950.252,1097.05,1364.727,1164.31
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,358.511,338.769,385.513,455.354,500.065,475.685,437.244,438.129,425.161,466.977,436.232,472.445,412.552,473.559,559.619,591.653
