Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,941823.6600000001,1007107.012,1043187.5020000001,1132960.1879999998,1185521.1959999998,1229271.9570000002,1154675.2840000002,1154805.9630000002,1200980.4890000003,1230058.1749999998,1210696.3219999997,1243727.1100000003,1273722.082,1297488.295,1287546.065,1293870.704
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,17723.556,18797.009,18395.481,20417.608,22900.01,21556.566,23193.096,21216.263,21268.787,22944.585,22414.378,25170.866,23643.712,26531.315,26437.671,26022.527
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,56672.635,62092.794,62144.611,65360.231,66556.048,68838.233,52431.46,53597.434,54617.677,55067.519,54081.586,50428.014,55342.379,57363.772,60841.955,60169.172
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,15967.031,17038.509,16816.66,17963.938,24535.653,27226.82,30142.31,25622.944,25071.309,23767.616,20186.174,17769.967,27170.023,24470.355,34255.254,52213.439
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,40070.219,45027.148,57012.465,68157.925,61519.618,51005.349,51437.729,56280.809,52286.642,52846.96,52572.519,41067.664,38712.543,32812.468,24825.224,22459.879
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,31922.125,27208.205,30791.843,32964.986,40440.698,45486.689,37153.912,36059.699,39384.142,40244.958,34352.084,38990.324,40409.435,44013.844,55366.768,46290.554
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,11278.634,9553.505,7932.481,9605.166,11459.459,11469.478,11731.191,12991.618,15275.008,14663.045,13777.365,12273.316,12264.534,12748.456,11773.96,10523.215
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,28323.766,19374.547,19830.063,22374.432,21165.47,22087.882,23586.808,27459.175,25818.421,28249.785,21991.215,23148.325,23683.169,22154.476,19006.834,16209.485
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,34095.216,37235.966,34608.65,36245.418,39620.675,39446.317,37409.61,34248.48,30775.373,33488.171,36168.07,37861.055,42387.229,44904.066,40154.038,32723.865
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,91927.03,99593.82,99253.734,120709.967,113304.978,104768.93,105674.855,92072.243,111065.572,122198.132,108644.335,121281.381,106491.433,122155.709,123914.794,122043.25
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,15062.795,14441.678,10657.463,11070.242,11914.529,12296.172,13142.965,13246.695,16197.136,14728.044,15374.972,17975.351,15681.035,17754.734,17214.135,16248.378
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,40142.96,39852.458,37138.353,44209.041,43565.355,45065.734,40899.464,38199.329,45664.335,49107.615,53936.6,53107.478,54160.612,56198.264,60556.393,54683.697
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,15021.401,17862.491,16798.441,18474.928,20021.481,23164.724,19998.433,19610.785,19535.756,19566.728,21657.353,25223.942,22460.597,20490.837,18079.046,19294.271
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,13269.464,18185.707,14688.724,13752.542,15567.106,19404.199,15125.671,16330.138,17221.802,18253.984,18859.416,22168.416,26974.622,28229.415,23099.645,22107.449
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,57668.886,64374.019,67769.179,69604.059,77213.266,85835.129,72298.925,75457.266,82857.649,83805.358,82954.494,80399.121,88885.886,90686.136,92652.974,87531.387
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,43932.024,48835.162,52760.141,54662.256,58590.351,58024.417,55313.674,68038.459,64361.934,60903.488,68639.485,70153.405,66578.955,73798.318,85754.24,87422.993
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,16194.017,16376.397,14762.153,16755.631,19171.124,20501.952,17820.982,18248.739,21836.141,21681.843,19296.273,22199.947,24133.628,22914.847,20133.58,20791.856
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,23955.204,21694.118,29555.479,23882.177,22992.839,27175.351,32663.501,31440.679,24082.935,19448.289,19382.617,21579.062,17580.399,18918.55,25603.46,24202.645
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,5608.336,12433.434,13809.355,13235.858,11682.372,13384.936,12108.324,10990.043,11583.079,12203.538,12405.148,14301.534,13474.117,13903.592,12500.946,10147.148
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,67128.329,73372.337,87547.002,99122.787,118012.841,115733.855,101495.831,105428.39,109279.047,109305.147,111185.889,116828.485,135535.181,124393.544,121922.276,126078.58
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,23250.952,24694.59,21765.313,21192.142,21041.315,24516.571,27163.062,28027.834,29124.316,31197.163,33196.073,34216.477,36413.182,29274.173,22894.484,27652.141
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,19509.68,21661.203,26304.539,29543.186,29285.826,29907.595,28014.765,29476.203,30017.94,33446.27,31820.935,34926.621,38443.151,41234.474,35905.042,38343.471
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,17343.436,17849.891,20842.207,24137.614,23784.735,25184.029,27379.887,27207.43,30018.31,31022.194,31068.424,35083.442,37260.162,37353.982,40813.8,39974.33
