Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,32931.801999999996,33886.94699999999,34092.217,34027.221000000005,33800.816999999995,32444.95,30515.913000000004,32208.080999999995,32682.342,33874.732,31925.496000000003,30843.001,33048.964,31827.761000000002,30284.176999999992,32210.98999999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,589.857,582.095,652.88,728.404,844.319,794.575,656.965,666.779,678.277,732.792,785.501,706.076,763.949,770.52,790.257,861.905
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,2460.459,2640.923,2616.634,2568.573,2302.536,2267.352,1963.479,2095.561,1914.651,2240.906,2488.468,2308.864,2551.366,2623.806,2607.156,2683.313
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,42.441,37.332,36.071,41.76,36.665,37.412,33.257,38.234,50.122,53.495,56.892,57.403,77.184,61.239,70.563,66.182
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,34.393,33.143,32.467,32.43,32.154,30.638,31.115,35.237,36.285,35.15,32.323,27.552,27.345,26.077,24.509,25.954
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,1568.961,1519.676,1594.509,1649.103,1634.916,1516.814,1433.454,1579.759,1715.995,1859.774,1643.548,1493.856,1625.602,1669.48,1502.243,1765.698
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,45.292,48.371,55.193,52.731,47.721,47.647,49.946,55.925,54.437,52.819,51.365,49.219,48.365,45.984,48.678,48.949
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,237.411,229.815,222.154,216.954,216.311,214.553,208.292,227.994,243.671,232.336,206.634,216.947,243.874,265.114,261.535,270.065
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,1549.254,1773.343,1637.761,1536.63,1451.723,1426.299,1390.779,1436.201,1521.057,1632.323,1406.752,1320.917,1422.836,1399.575,1435.843,1531.909
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,4179.878,4176.918,4189.139,4294.118,4414.091,3714.092,3537.184,3575.71,3057.013,3486.998,3050.405,2785.927,2849.836,2638.447,2463.852,2737.532
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,355.955,341.884,334.139,328.141,323.408,331.483,299.231,328.457,382.176,437.811,429.418,446.936,508.122,530.44,521.599,560.957
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,1103.758,1098.541,1031.626,1124.167,1089.088,1075.111,1079.273,1171.785,1224.536,1308.916,1190.033,1136.672,1121.751,1093.687,1054.889,1141.433
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,127.571,133.424,141.029,134.258,136.961,137.435,114.756,125.869,133.599,132.2,117.937,110.922,112.84,129.945,104.031,108.901
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,717.084,713.122,685.179,766.125,714.472,620.029,662.923,712.375,643.149,606.516,577.031,618.381,662.622,627.06,655.251,790.238
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,3415.283,3599.137,3635.102,3569.534,3435.266,3304.156,3105.468,3459.719,3531.6,3502.503,3365.358,3341.933,3619.64,3444.319,3162.077,3144.805
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,3960.284,4190.8,4326.711,4440.215,4376.723,4399.01,4120.396,4569.364,4929.412,5092.338,5102.974,5256.415,5476.335,5159.495,4661.869,5162.557
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,1077.769,1009.057,931.548,883.747,798.841,722.443,703.599,721.945,697.815,780.484,712.313,695.028,664.3,594.726,486.706,470.085
